round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round,run_id,run_tag
2,fedavg,mnist,10,iid,,1,0,0,9.436265568743217,0.511,0.9943568787701887,0.0,-0.002918855808523,0.1738325447438798,0.9929947460595446,,4782880,239144,5,cb1e95228275,fedavg_mnist_C10_iid
3,fedavg,mnist,10,iid,,1,0,0,9.867325062954752,0.5117,0.9957190114808327,0.0,-0.0013621327106441,0.1738325447438798,0.9943568787701887,,7174320,239144,5,cb1e95228275,fedavg_mnist_C10_iid
4,fedavg,mnist,10,iid,,1,0,0,10.082011654415416,0.5118,0.9959136018680678,0.0,-0.0001945903872349,0.1738325447438798,0.9945514691574237,,9565760,239144,5,cb1e95228275,fedavg_mnist_C10_iid
5,fedavg,mnist,10,iid,,1,0,0,10.247418061736322,0.5118,0.9959136018680678,0.0,0.0,0.1738325447438798,0.9945514691574237,,11957200,239144,5,cb1e95228275,fedavg_mnist_C10_iid
6,fedavg,mnist,10,iid,,1,0,0,10.696122202888054,0.5119,0.9961081922553026,0.0,-0.0001945903872347,0.1738325447438798,0.9947460595446584,,14348640,239144,5,cb1e95228275,fedavg_mnist_C10_iid
7,fedavg,mnist,10,iid,,1,0,0,10.908526263667984,0.5123,0.996886553804242,0.0,-0.0007783615489395,0.1738325447438798,0.995524421093598,,16740080,239144,5,cb1e95228275,fedavg_mnist_C10_iid
8,fedavg,mnist,10,iid,,1,0,0,11.401618345082182,0.5126,0.9974703249659468,0.0,-0.0005837711617046,0.1738325447438798,0.9961081922553026,,19131520,239144,5,cb1e95228275,fedavg_mnist_C10_iid
9,fedavg,mnist,10,iid,,1,0,0,11.924573392329222,0.5123,0.996886553804242,0.0,0.0005837711617046,0.1738325447438798,0.995524421093598,,21522960,239144,5,cb1e95228275,fedavg_mnist_C10_iid
10,fedavg,mnist,10,iid,,1,0,1,11.735676592096937,0.5125,0.9972757345787118,0.0,0.0001945903872349,0.1738325447438798,0.9959136018680677,,23914400,239144,5,cb1e95228275,fedavg_mnist_C10_iid
11,fedavg,mnist,10,iid,,2,1,0,13.428917238732891,0.4791,0.0,0.9855996708496194,0.9974703249659468,-0.8117671261057395,-0.001362132710644,,26305840,239144,5,cb1e95228275,fedavg_mnist_C10_iid
12,fedavg,mnist,10,iid,,2,0,0,16.21558131922494,0.4806,0.0,0.9886854556675582,0.9974703249659468,-0.0030857848179387,-0.001362132710644,,28697280,239144,5,cb1e95228275,fedavg_mnist_C10_iid
13,fedavg,mnist,10,iid,,2,0,0,16.114527050858367,0.4812,0.0,0.9899197695947336,0.9974703249659468,-0.0012343139271754,-0.001362132710644,,31088720,239144,5,cb1e95228275,fedavg_mnist_C10_iid
14,fedavg,mnist,10,iid,,2,0,0,17.058645702807873,0.4824,0.0,0.9923883974490846,0.9974703249659468,-0.0024686278543509,-0.001362132710644,,33480160,239144,5,cb1e95228275,fedavg_mnist_C10_iid
15,fedavg,mnist,10,iid,,2,0,0,17.510410613722076,0.4826,0.0,0.9927998354248098,0.9974703249659468,-0.0004114379757251,-0.001362132710644,,35871600,239144,5,cb1e95228275,fedavg_mnist_C10_iid
16,fedavg,mnist,10,iid,,2,0,0,17.111483691876522,0.4824,0.0,0.9923883974490846,0.9974703249659468,0.0004114379757251,-0.001362132710644,,38263040,239144,5,cb1e95228275,fedavg_mnist_C10_iid
17,fedavg,mnist,10,iid,,2,0,0,16.54934549426522,0.4827,0.0,0.9930055544126722,0.9974703249659468,-0.0002057189878624,-0.001362132710644,,40654480,239144,5,cb1e95228275,fedavg_mnist_C10_iid
18,fedavg,mnist,10,iid,,2,0,0,17.894517516413732,0.4828,0.0,0.9932112734005348,0.9974703249659468,-0.0002057189878625,-0.001362132710644,,43045920,239144,5,cb1e95228275,fedavg_mnist_C10_iid
19,fedavg,mnist,10,iid,,2,0,0,18.459506152350297,0.4828,0.0,0.9932112734005348,0.9974703249659468,0.0,-0.001362132710644,,45437360,239144,5,cb1e95228275,fedavg_mnist_C10_iid
20,fedavg,mnist,10,iid,,2,0,1,17.479302873453864,0.4828,0.0,0.9932112734005348,0.9974703249659468,0.0,-0.001362132710644,,47828800,239144,5,cb1e95228275,fedavg_mnist_C10_iid
0,fedavg,fmnist,100,dirichlet,0.5,1,0,0,2.307141382789612,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
1,fedavg,fmnist,100,dirichlet,0.5,1,1,0,3.19126024184227,0.406,0.812,0.0,-0.8104,0.1704,0.8104,,23914400,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
2,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.196964613199234,0.4196,0.8392,0.0,-0.0271999999999998,0.1704,0.8375999999999999,,47828800,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
3,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.536649079430103,0.436,0.872,0.0,-0.0328,0.1704,0.8704,,71743200,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
4,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.495248429846764,0.4377,0.8754,0.0,-0.0033999999999999,0.1704,0.8737999999999999,,95657600,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
5,fedavg,fmnist,100,dirichlet,0.5,1,0,0,4.20086588023901,0.4388,0.8776,0.0,-0.0022,0.1704,0.876,,119572000,239144,50,cd91f909a703,fedavg_fmnist_C100_dirichlet_a0.5
